Number, Place                         , Name of library.                                                , When founded., Free or subscription., Class.         , Number of volumes.          , Average yearly additions., Yearly circulation., Amount of permanent fund., Total yearly income from all sources., "Books, periodicals, and binding.", Salaries and incidentals.
239   , "Suffield, Conn"              , Connecticut Literary Institution                                , 1833         ,                      , Acad           , "1,000"                     , 40                       ,                    ,                          ,                                      ,                                   , 
240   , "Terryville, Conn"            , Lyceum Library                                                  , 1838         , Free                 , Soc'l          , "1,000"                     , 20                       , 500                , 0                        , 35                                   , 35                                , 0
241   , "Thomaston, Conn"             , Village Library                                                 , 1859         , Sub                  , Soc'l          , 350                         , 0                        ,                    , 0                        , 0                                    ,                                   , 0
242   , "Thompson, Conn"              , Fire Engine Library                                             , 1845         , Sub                  , Soc'l          , 350                         , 0                        , 350                , 0                        , 0                                    , 0                                 , 0
243   , "Vernon, Conn"                , East District High School                                       , 1839         ,                      , Acad           , 500                         ,                          ,                    ,                          ,                                      ,                                   , 
244   , "Washington, Conn"            , Family School for Boys                                          , 1850         ,                      , Acad           , 500                         ,                          ,                    , 0                        ,                                      ,                                   , 
245   , "Waterbury, Conn"             , Congrégation de Notre Dame                                      , 1869         ,                      , Acad           , "2,000"                     , 100                      ,                    ,                          ,                                      ,                                   , 
246   , "Waterbury, Conn"             , St. Margaret's School for Girls                                 , 1875         ,                      , Acad           , 570                         ,                          ,                    ,                          ,                                      ,                                   , 
247   , "Waterbury, Conn"             , Silas Bronson Library                                           , 1870         , Free                 , Pub            , "20,000"                    , "1,700"                  , "68,000"           , "200,000"                , "14,000"                             , "5,500"                           , "5,200"
248   , "Watertown, Conn"             , Library Association                                             , 1865         , Sub                  , Soc'l          , "1,332"                     , 200                      ,                    , "5,000"                  , 600                                  , 350                               , 87
249   , "Wauregan, Conn"              , Library Association                                             , 1861         , Sub                  , Soc'l          , 820                         ,                          ,                    , 0                        ,                                      ,                                   , 0
250   , "West Haven, Conn"            , Oak Hill Ladies' Seminary                                       , 1845         ,                      , Acad           , "1,000"                     ,                          ,                    , 0                        ,                                      ,                                   , 
251   , "West Killingly, Conn"        , Dowe's Circulating Library                                      , 1862         , Sub                  , Mis            , 800                         , 100                      ,                    , 0                        ,                                      , 150                               , 
252   , "West Meriden, Conn"          , Connecticut Reform School                                       , 1854         ,                      , A. & R.        , "1,500"                     ,                          ,                    ,                          ,                                      ,                                   , 
253   , "West Winsted, Conn"          , Beardsley Library                                               , 1874         , Sub                  , Soc'l          , "3,200"                     ,                          ,                    , "5,000"                  , 500                                  , 500                               , 
254   , "Wethersfield, Conn"          , Rose Library                                                    , 1866         , Sub                  , Soc'l          , "1,600"                     ,                          ,                    , "1,500"                  , 105                                  ,                                   , 275
255   , "Wethersfield, Conn"          , State Prison                                                    , 1846         ,                      , A. & R.        , "1,225"                     ,                          ,                    ,                          , 200                                  , 200                               , 
256   , "Windsor Locks, Conn"         , Holden's Circulating Library                                    , 1870         , Sub                  , Mis            , 650                         ,                          , 750                ,                          , 50                                   , 0                                 , 0
257   , "Windsor Locks, Conn"         , Union School Library                                            , 1868         , Free                 , Acad           , 500                         , 30                       , "1,000"            ,                          , 60                                   , 50                                , 0
258   , "Wolcottville, Conn"          , Library Association                                             , 1864         , Sub                  , Soc'l          , "1,500"                     , 37                       ,                    , 0                        ,                                      , 120                               , 321
259   , "Woodbury, Conn"              , Library Association                                             , 1850         , Sub                  , Soc'l          , 425                         , 12                       , 480                , 0                        , 15                                   , 12                                , 3
260   , "Woodstock, Conn"             , Woodstock Academy                                               ,              ,                      , Acad           , 400                         , 100                      ,                    ,                          ,                                      ,                                   , 
261   , "Fort Randall, Dak"           , Post Library                                                    ,              ,                      , Gar            , 750                         ,                          ,                    ,                          ,                                      ,                                   , 
262   , "Fort Sully, Dak"             , Post Library                                                    ,              ,                      , Gar            , 745                         ,                          ,                    ,                          ,                                      ,                                   , 
263   , "Yankton, Dak"                , Library Association                                             , 1873         , Sub                  , Soc'l          , 488                         , 100                      , "1,000"            , 0                        , 100                                  , 100                               , 0
264   , "Yankton, Dak"                , Territorial Library                                             , 1865         ,                      , Ter            , "1,900"                     ,                          ,                    ,                          ,                                      ,                                   , 
265   , "Dover, Del"                  , Masonic Library                                                 ,              ,                      , Soc'l          , 425                         ,                          ,                    ,                          ,                                      ,                                   , 
266   , "Dover, Del"                  , State Library                                                   , 1832         ,                      , State          , "11,000"                    ,                          ,                    ,                          , 150                                  , 150                               , 
267   , "Felton, Del"                 , Felton Institute and Classical Seminary                         , 1868         ,                      , Acad           , 400                         , 0                        ,                    , 0                        ,                                      ,                                   , 
268   , "Newark, Del"                 , Delaware College                                                , 1835         ,                      , Col            , "6,000"                     , 50                       ,                    ,                          , 150                                  ,                                   , 
269   , "Newark, Del"                 , Delta Phi Society                                               , 1835         ,                      , Soc'y          , 600                         , 50                       ,                    ,                          ,                                      ,                                   , 
270   , "Newark, Del"                 , Athenæan Society                                                ,              ,                      , Soc'y          , 600                         , 50                       ,                    ,                          ,                                      ,                                   , 
271   , "New Castle, Del"             , Library Company.                                                , 1812         , Sub                  , Soc'l          , "6,200"                     , 100                      ,                    , "6,000"                  ,                                      ,                                   , 
272   , "Smyrna, Del"                 , Library Association                                             , 1858         , Sub                  , Soc'l          , "2,500"                     , 75                       ,                    , 0                        ,                                      ,                                   , 
273   , "Wilmington, Del"             , Delaware Historical Society                                     , 1864         ,                      , Hist'l         , 400                         , 50                       ,                    , 0                        , 250                                  , 100                               , 
274   , "Wilmington, Del"             , Delaware State Normal University                                , 1866         ,                      , Acad           , 650                         , 39                       ,                    , 0                        ,                                      ,                                   , 
275   , "Wilmington, Del"             , Misses Robertson's Boarding and Day School                      ,              ,                      , Acad           , "1,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
276   , "Wilmington, Del"             , New Castle County Law Library Association                       , 1873         , Sub                  , Law            , 426                         ,                          ,                    , 0                        ,                                      ,                                   , 
277   , "Wilmington, Del"             , Rugby Academy                                                   , 1873         ,                      , Acad           , 500                         ,                          ,                    ,                          ,                                      ,                                   , 
278   , "Wilmington, Del."            , Shield's Library                                                , 1863         , Sub                  , Soc'l          , 462                         , 45                       , "1,135"            , $150                     , "$1,000"                             , $200                              , $650
279   , "Wilmington, Del."            , United States District Court                                    , 1846         ,                      , Law            , 893                         ,                          ,                    ,                          ,                                      ,                                   , 
280   , "Wilmington, Del."            , Wesleyan Female College                                         , 1837         ,                      , Acad           , "3,600"                     ,                          ,                    ,                          ,                                      ,                                   , 
281   , "Wilmington, Del."            , Wilmington Institute                                            , 1787         , Sub                  , Soc'l          , "11,000"                    ,                          ,                    ,                          , "8,000"                              ,                                   , 
282   , "Wilmington, Del."            , Young Men's Free Library Association                            , 1870         , Free                 , Soc'l          , 384                         ,                          ,                    , 0                        ,                                      ,                                   , 550
283   , "Georgetown, D. C."           , Academy of the Visitation                                       , 1799         ,                      , Acad           , "3,500"                     ,                          ,                    ,                          ,                                      ,                                   , 
284   , "Georgetown, D. C."           , Georgetown College                                              , 1791         ,                      , Col            , "28,000"                    , 150                      ,                    , 0                        , 0                                    , 500                               , 0
285   , "Georgetown, D. C."           , "Society Libraries, (6)"                                        , 1815-1867    , Sub                  , Soc'y          , "4,268"                     , 25                       ,                    ,                          ,                                      ,                                   , 
286   , "Georgetown, D. C."           , Georgetown Female Seminary                                      , 1868         ,                      , Acad           , 350                         ,                          ,                    ,                          ,                                      ,                                   , 
287   , "Georgetown, D. C."           , Peabody Library Association                                     , 1870         , Free                 , Pub            , 575                         , 100                      ,                    , "25,000"                 , "2,500"                              ,                                   , 800
288   , "Washington, D. C."           , Academy of the Visitation                                       , 1850         ,                      , Acad           , "2,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
289   , "Washington, D. C."           , Adjutant-General's Office                                       ,              ,                      , Gov't          , "1,700"                     ,                          ,                    ,                          ,                                      ,                                   , 
290   , "Washington, D. C."           , Attorney-General's Office                                       , 1853         ,                      , Gov't          , "12,000"                    ,                          ,                    ,                          , "3,000"                              ,                                   , 
291   , "Washington, D. C."           , Bar Association                                                 , 1871         , Sub                  , Law            , "1,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
292   , "Washington, D. C."           , Book Exchange                                                   , 1870         , Sub                  , Mis            , "10,000"                    ,                          , "7,000"            ,                          ,                                      ,                                   , 
293   , "Washington, D. C."           , Bureau of Education                                             , 1868         ,                      , Gov't          , "4,522"                     ,                          ,                    ,                          ,                                      , "1,675"                           , 
294   , "Washington, D. C."           , Bureau of Medicine and Surgery                                  ,              ,                      , Gov't          , "1,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
295   , "Washington, D. C."           , Bureau of Navigation                                            ,              ,                      , Gov't          , "1,250"                     ,                          ,                    ,                          ,                                      ,                                   , 
296   , "Washington, D. C."           , Bureau of Ordnance                                              , 1838         ,                      , Gov't          , "2,200"                     ,                          ,                    ,                          ,                                      ,                                   , 
297   , "Washington, D. C."           , Bureau of Statistics                                            , 1866         ,                      , Gov't          , "6,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
298   , "Washington, D. C."           , Columbia Institution for the Deaf and Dumb                      , 1864         ,                      , Acad           , "2,000"                     ,                          ,                    , 0                        , 500                                  , 500                               , 
299   , "Washington, D. C."           , Columbian University                                            , 1822         ,                      , Col            , "5,750"                     ,                          ,                    ,                          ,                                      ,                                   , 
300   , "Washington, D. C."           , Department of Agriculture                                       , 1860         ,                      , Gov't          , "7,000"                     , 567                      ,                    ,                          , "1,500"                              , "1,250"                           , "1,800"
301   , "Washington, D. C."           , Department of State                                             , 1789         , Free                 , Gov't          , "29,000"                    ,                          ,                    ,                          , "2,500"                              ,                                   , 
302   , "Washington, D. C."           , Department of the Interior                                      , 1850         , Free                 , Gov't          , "5,589"                     , "1,028"                  ,                    ,                          ,                                      ,                                   , 
303   , "Washington, D. C."           , Executive Mansion                                               , 1810         ,                      , Gov't          , "1,453"                     ,                          ,                    ,                          ,                                      ,                                   , 
304   , "Washington, D. C."           , First Auditor's Office                                          , 1789         ,                      , Gov't          , "2,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
305   , "Washington, D. C."           , Gonzaga College                                                 , 1858         ,                      , Col            , "10,000"                    ,                          ,                    ,                          ,                                      ,                                   , 
306   , "Washington, D. C."           , Government Hospital for the Insane                              , 1855         ,                      , A. & R.        , "1,400"                     ,                          ,                    ,                          ,                                      ,                                   , 
307   , "Washington, D. C."           , House of Representatives                                        , 1789         ,                      , Gov't          , "125,000"                   ,                          ,                    ,                          ,                                      ,                                   , 
308   , "Washington, D. C."           , Howard University                                               , 1869         , Free                 , Col            , "10,000"                    ,                          ,                    ,                          ,                                      ,                                   , 
309   , "Washington, D. C."           , Theological Department                                          , 1872         ,                      , The'l          , 400                         , 20                       ,                    , 0                        ,                                      ,                                   , 
310   , "Washington, D. C."           , Law Department                                                  , 1869         ,                      , Law            , 300                         ,                          ,                    , 0                        ,                                      ,                                   , 
311   , "Washington, D. C."           , Hydrographer's Office                                           , 1867         ,                      , Gov't          , "7,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
312   , "Washington, D. C."           , I. O. O. F. Library Association                                 , 1860         , Free                 , Soc'l          , "3,600"                     , 100                      , "6,000"            , 0                        , 400                                  ,                                   , 250
313   , "Washington, D. C."           , I. O. O. F. Library Association of East Washington              , 1874         , Free                 , Soc'l          , 520                         , 200                      , 250                , 0                        , 338                                  , 120                               , 
314   , "Washington, D. C."           , Irving Circulating Library                                      , 1875         , Sub                  , Mis            , "1,100"                     ,                          ,                    ,                          ,                                      ,                                   , 
315   , "Washington, D. C."           , Land Office                                                     ,              ,                      , Gov't          , 500                         ,                          ,                    ,                          ,                                      ,                                   , 
316   , "Washington, D. C."           , Library of Congress                                             , 1802         ,                      , Gov't          , "300,000"                   , "15,400"                 ,                    ,                          , "15,000"                             , "15,000"                          , "29,340"
317   , "Washington, D. C."           , Light-House Board                                               , 1852         ,                      , Gov't          , "1,500"                     ,                          ,                    ,                          ,                                      ,                                   , 
318   , "Washington, D. C."           , Marine Barracks                                                 , 1852         , Free                 , Gov't          , "1,500"                     ,                          ,                    ,                          ,                                      ,                                   , 
319   , "Washington, D. C."           , Masonic Library of the District of Columbia                     , 1810         , Free                 , Soc'l          , "1,600"                     ,                          ,                    , 500                      , 250                                  ,                                   , 250
320   , "Washington, D. C."           , Mt. Vernon Institute                                            , 1872         ,                      , Acad           , 400                         ,                          ,                    ,                          ,                                      ,                                   , 
321   , "Washington, D. C."           , Mt. Vernon Seminary                                             , 1875         ,                      , Acad           , 350                         ,                          ,                    ,                          ,                                      ,                                   , 
322   , "Washington, D. C."           , Navy Department                                                 ,              ,                      , Gov't          , "4,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
323   , "Washington, D. C."           , Nimmo's Circulating Library                                     , 1867         , Sub                  , Mis            , "3,000"                     ,                          ,                    ,                          , "1,800"                              ,                                   , 
324   , "Washington, D. C."           , Park Seminary                                                   , 1868         ,                      , Acad           , 500                         ,                          ,                    ,                          ,                                      ,                                   , 
325   , "Washington, D. C."           , Patent-Office                                                   , 1839         ,                      , Gov't          , "23,000"                    , 533                      ,                    ,                          ,                                      ,                                   , 
326   , "Washington, D. C."           , Post-Office Department                                          , 1862         , Free                 , Gov't          , "6,301"                     , 300                      ,                    ,                          ,                                      ,                                   , 
327   , "Washington, D. C."           , St. Vincent's Orphan Asylum                                     , 1850         ,                      , A. & R.        , 500                         ,                          ,                    ,                          ,                                      ,                                   , 
328   , "Washington, D. C."           , "Signal-Office, United States Army"                             , 1861         ,                      , Gov't          , "2,900"                     , 775                      ,                    ,                          ,                                      ,                                   , 
329   , "Washington, D. C."           , Soldiers' Home                                                  , 1850         , Free                 , Gar            , "2,500"                     ,                          ,                    ,                          ,                                      ,                                   , 
330   , "Washington, D. C."           , Solicitor of the Treasury                                       , 1843         ,                      , Gov't          , "6,000"                     ,                          ,                    ,                          ,                                      , "1,000"                           , 
331   , "Washington, D. C."           , Supervising Architect's Office                                  , 1858         ,                      , Gov't          , 250                         ,                          ,                    ,                          ,                                      ,                                   , 
332   , "Washington, D. C."           , Surgeon-General's Office                                        , 1865         ,                      , Gov't          , "40,000"                    , "2,500"                  ,                    ,                          ,                                      ,                                   , 
333   , "Washington, D. C."           , Treasury Department                                             , 1803         , Free                 , Gov't          , "8,440"                     , 87                       ,                    ,                          ,                                      ,                                   , 
334   , "Washington, D. C."           , United States Coast Survey                                      , 1832         ,                      , Gov't          , "6,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
335   , "Washington, D. C."           , United States Naval Observatory                                 , 1845         ,                      , Gov't          , "7,000"                     , 203                      ,                    ,                          ,                                      ,                                   , 
336   , "Washington, D. C."           , United States Senate                                            , 1852         ,                      , Gov't          , "25,000"                    ,                          ,                    ,                          ,                                      ,                                   , 
337   , "Washington, D. C."           , War Department                                                  , 1832         , Free                 , Gov't          , "13,000"                    , 805                      ,                    ,                          ,                                      , "$1,000"                          , "$1,400"
338   , "Washington, D. C."           , Washington City Library                                         , 1865         , Sub                  , Y.M.C.A.       , "15,000"                    , 250                      ,                    , $175                     ,                                      ,                                   , 
339   , "Washington, D. C."           , Wayland Seminary                                                , 1865         ,                      , The'l          , "1,215"                     , 400                      ,                    ,                          ,                                      ,                                   , 40
340   , "Jacksonville, Fla."          , Florida Circulating Library                                     , 1873         , Sub                  , Soc'l          , "1,500"                     , 250                      ,                    ,                          ,                                      ,                                   , 
341   , "Jacksonville, Fla."          , St. Joseph's Academy                                            , 1869         ,                      , Acad           , 500                         ,                          ,                    ,                          ,                                      ,                                   , 
342   , "Milton, Fla."                , Masonic Academy                                                 , 1875         , Free                 , Acad           , "1,000"                     ,                          ,                    , 0                        ,                                      ,                                   , 
343   , "Pensacola, Fla."             , United States Navy-Yard                                         , 1864         ,                      , Gov't          , 650                         ,                          ,                    ,                          ,                                      ,                                   , 
344   , "St. Augustine, Fla."         , City Library                                                    , 1875         , Free                 , Pub            , 500                         ,                          , 500                ,                          , "$1,000"                             , 800                               , 150
345   , "Tallahassee, Fla."           , State Library                                                   , 1845         ,                      , State          , "10,000"                    ,                          ,                    ,                          ,                                      ,                                   , 
346   , "Athens, Ga."                 , University of Georgia                                           , 1831         , Sub                  , Col            , "14,000"                    ,                          ,                    ,                          , "1,000"                              , "1,000"                           , 
347   , "Athens, Ga."                 , Gilmer Library                                                  ,              ,                      , Col            , "1,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
348   , "Athens, Ga."                 , Demosthenian Society                                            , 1801         ,                      , Soc'y          , "3,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
349   , "Athens, Ga."                 , Phi Kappa Society                                               , 1820         ,                      , Soc'y          , "3,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
350   , "Athens, Ga."                 , Law Department                                                  , 1866         ,                      , Law            , 600                         ,                          ,                    ,                          ,                                      ,                                   , 
351   , "Augusta, Ga."                , Medical College of Georgia                                      , 1831         ,                      , Med            , "5,000"                     ,                          ,                    , 0                        ,                                      ,                                   , 
352   , "Dahlonega, Ga."              , North Georgia Agricultural College                              , 1873         ,                      , Col            , "1,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
353   , "Atlanta, Ga."                , Atlanta Medical College                                         ,              ,                      , Med            , 300                         ,                          ,                    ,                          ,                                      ,                                   , 
354   , "Atlanta, Ga."                , Atlanta University                                              , 1870         ,                      , Col            , "3,000"                     ,                          ,                    , "5,000"                  ,                                      ,                                   , 
355   , "Atlanta, Ga."                , Clark University                                                , 1869         ,                      , Acad           , "1,000"                     ,                          ,                    , 0                        ,                                      ,                                   , 
356   , "Atlanta, Ga."                , Georgia State Library                                           , 1825         ,                      , State          , "20,000"                    , "2,000"                  ,                    ,                          ,                                      ,                                   , 
357   , "Atlanta, Ga."                , Young Men's Library                                             , 1867         , Sub                  , Soc'l          , "4,510"                     ,                          , "15,000"           , "2,500"                  ,                                      ,                                   , 
358   , "Augusta, Ga."                , Augusta Institute                                               , 1870         ,                      , Acad           , 375                         ,                          ,                    , 0                        ,                                      ,                                   , 
359   , "Augusta, Ga."                , Catholic Young Men's Society                                    , 1873         , Sub                  , Soc'l          , 933                         , 300                      , "1,200"            , 0                        , "1,100"                              , 200                               , 800
360   , "Augusta, Ga."                , Young Men's Library Association                                 , 1848         , Sub                  , Soc'l          , "4,400"                     , 300                      , "8,200"            , "7,500"                  , 850                                  , 225                               , 600
361   , "Barnesville, Ga."            , Gordon Institute                                                , 1873         ,                      , Acad           , 500                         , 200                      ,                    , 0                        ,                                      ,                                   , 
362   , "Bowdon, Ga."                 , "Bowdon College Society Libraries, (2)"                         , 1858         ,                      , Soc'y          , "3,600"                     ,                          ,                    ,                          ,                                      ,                                   , 
363   , "Cave Spring, Ga."            , Georgia Institution for the Deaf and Dumb                       , 1859         ,                      , Acad           , "1,000"                     ,                          ,                    , 0                        ,                                      ,                                   , 
364   , "Covington, Ga."              , Southern Masonic Female College                                 , 1852         ,                      , Acad           , 500                         ,                          ,                    ,                          ,                                      ,                                   , 
365   , "Cuthbert, Ga."               , Andrew Female College                                           , 1855         ,                      , Acad           , 600                         ,                          ,                    ,                          ,                                      ,                                   , 
366   , "Dalton, Ga."                 , Dalton Female College                                           , 1873         ,                      , Acad           , 500                         ,                          ,                    ,                          ,                                      ,                                   , 
367   , "Griffin, Ga."                , Griffin Female College                                          , 1857         ,                      , Acad           , "1,200"                     , 100                      ,                    ,                          ,                                      ,                                   , 
368   , "La Grange, Ga."              , Southern Female College                                         , 1850         ,                      , Acad           , 300                         ,                          ,                    , 0                        ,                                      ,                                   , 
369   , "La Grange, Ga."              , Phi Rho Society                                                 ,              ,                      , Soc'y          , 300                         ,                          ,                    ,                          ,                                      ,                                   , 
